0.06362316358536915,52442439,95
0.06967220040010375,2201577,24
0.07223912596523653,1344588,14
0.07995745211781742,449621,17
0.09059086971962445,47674,4
1,16117,4
0.06722387770523258,547633,23
0.10029601823710728,97439,4
0.11203456118991305,104153,3
0.09204576840857207,232048,4
0.0838767421103583,35047,2
0.07736859928360304,422196,10
0.048768229568462586,187223,1
0.0860424951980146,246020,1
0.09970583401168508,84531,2
0.09212991521982569,17968,1
0.09805118747370709,35492,2
1,864,0
0.08867914367029452,50429,5
0.11125513501664384,57381,1
0.0664983296178778,80935,9
1,5285,0
0.07357907268895789,131383,1
1,13217,0
0.07865640342167851,205017,8
